60;30
'532135, 532268, 532342, 532441, 532461, 533146, 533325, 533326, 533330, 534128, 534138, 534221, 5343255, 534524, 534561, 534568, 534631, 5352, 5358, 537263, 537264, 537268, 537270, 53728, 53750, 53751, 53756, 537880, 537885, 537886, 537887, 537889, 537890, 537891, 537892, 537894, 538274';0.7500;0.7500
'357';0.0389;0.0389
'90392';0.0600;0.0600
'3577, 3579';0.0430;0.0430
'420';0.0150;0.0150
'4202, 42031, 42032';0.0150;0.0150
'420965';0.1190;0.1190
'420601, 420602, 420606, 420607, 42072, 420961, 420962, 420966';0.1190;0.1190
'420603, 420604, 420605, 42073, 42093, 420963, 420964';0.1190;0.1190
'420608, 42077, 420967';0.1190;0.1190
'42081, 42082, 42083, 42084, 42085, 42086, 42087, 42088, 42089';0.0150;0.0150
'45';0.0110;0.0110
'4532, 4533, 4534, 4535, 4536, 4537, 4538, 4539';0.0108;0.0108
'451, 452, 4530, 4531, 4540, 4541, 4550, 4551, 4552, 4561';0.1800;0.1800
'4526, 4527';0.1780;0.1780
'45206, 45207, 45208, 45209, 4522, 45251, 45252, 45253, 45405, 45406, 45407, 45408, 45409, 4560, 45721';0.1800;0.1800
'45257, 45258';0.1650;0.1650
'452395, 4528, 455188, 455189, 45601, 45602, 456146';0.1650;0.1650
4590;0.0110;0.0110
'246';1.5000;1.5000
'253';0.2475;0.2475
'1767';0.1500;0.1500
'1809, 1829';0.1100;0.1100
'18092, 18093, 18094, 180950, 180951, 180952, 180954, 1809563, 18096, 18097, 18098, 18099';0.1100;0.1100
'670';1.0000;1.0000
'593';0.1790;0.1790
'5934, 5935';0.1020;0.1020
'5932';0.1020;0.1020
'5939';0.1800;0.1800
'20';0.1400;0.1400
'203';0.1400;0.1400
'202';0.1400;0.1400
'2010, 2011';0.1400;0.1400
'2012';0.1400;0.1400
'503';0.0900;0.0900
'5037, 5038, 5039';0.0880;0.0880
'240';0.1721;0.1721
'291';0.2076;0.2076
'372';0.0167;0.0167
'3725';0.2450;0.2450
'251';0.2375;0.2375
'2519';0.2050;0.2050
'388';4.0000;4.0000
'500';0.4329;0.4329
'298';0.1700;0.1700
'679';0.2500;0.2500
'358';0.0400;0.0400
'3589';0.0190;0.0190
'3584';0.1550;0.1550
'35846, 35850';0.1550;0.1550
'35840, 35842, 358450';0.1000;0.1000
'33';0.0102;0.0102
'3349';0.0102;0.0102
'334';0.0102;0.0102
'331';0.0099;0.0099
'3359, 336';0.1290;0.1290
'33653, 33660, 33661, 33662, 33663, 33664, 33665, 33666, 33667, 33668, 33698, 33699';0.1700;0.1700
'33601, 33602, 33605, 33634, 33635, 33636, 33637, 33638, 33639, 33640, 33642, 33643, 33644, 33645, 33646, 33647, 33650, 33651, 33652, 33658, 33659, 33669, 33690, 33691, 33692, 33693, 33694, 33695, 33696, 33697';0.1600;0.1600
'33607, 33608, 33630, 33631, 33632, 33633, 3367, 3368';0.1490;0.1490
'33603, 33609, 3361, 3362, 33655, 33656, 33657';0.1700;0.1700
'337, 338, 339';0.0100;0.0100
'594';0.2300;0.2300
'689';0.1526;0.1526
'241';0.0750;0.0750
'220';0.2100;0.2100
'2207, 2208, 2209';0.2100;0.2100
'995';0.0500;0.0500
'99532';0.0400;0.0400
'99590, 99597';0.1250;0.1250
'99555, 99577, 99593';0.1100;0.1100
'99595, 99598, 99599';0.1100;0.1100
'49';0.0095;0.0095
'4930';0.0095;0.0095
'49421';0.0095;0.0095
'49221';0.0095;0.0095
'49351';0.0095;0.0095
'49211';0.0095;0.0095
'49201';0.0095;0.0095
'4969';0.0095;0.0095
'4940';0.0095;0.0095
'49511';0.0095;0.0095
'49341';0.0095;0.0095
'4989';0.0095;0.0095
'49911';0.0095;0.0095
'49711';0.0095;0.0095
'4915, 4916';0.1200;0.1200
'49155, 49157, 49163, 49177, 49178';0.1200;0.1200
'49159, 49176, 49179';0.1200;0.1200
'49151, 49160, 49170, 49171, 49175';0.1200;0.1200
'49152, 49162, 49172, 49173, 49174';0.1200;0.1200
'4932';0.0105;0.0105
'49700, 49701';0.1200;0.1200
'49190, 49900';0.0100;0.0100
'4910, 4911, 4912, 4913, 4914, 4918, 49191, 49192, 49193, 49194, 49195, 49196, 49197, 49198, 49199, 492000, 49600, 49800';0.0100;0.0100
'233';0.0733;0.0733
'23320, 23324, 23327, 23328';0.1399;0.1399
'350';0.0213;0.0213
'35054, 35056, 35057, 35058';0.2600;0.2600
'30';0.0110;0.0110
'30210';0.0110;0.0110
'3069';0.2000;0.2000
'30699';0.2000;0.2000
'30693';0.2000;0.2000
'30694';0.2000;0.2000
'299';0.4300;0.4300
'29948, 29949, 2995';0.4300;0.4300
'1473';0.1700;0.1700
'590';0.2942;0.2942
'502';0.1040;0.1040
'5025, 50260';0.0999;0.0999
'224';0.1500;0.1500
'245';0.4826;0.4826
'592';0.2065;0.2065
'509';0.1700;0.1700
'509251, 5093, 5094, 5095, 50985';0.1900;0.1900
'504';0.2200;0.2200
'852';0.0222;0.0222
'85217, 85248, 85249, 8526, 8527, 8529';0.0150;0.0150
'36';0.0125;0.0125
'361';0.0125;0.0125
'3677, 3678, 3679';0.0125;0.0125
'361999, 3622999, 3623999, 3624999, 3625999, 3626999, 3627999, 3628999, 3629999, 3632999, 3633999, 3634999, 3635999, 3636999, 3637999, 3642999, 3644999, 3645999, 3646999, 3647999, 3648999, 3649999, 3652999, 3653999, 3654999, 3656999, 3657999, 3659999, 3662999, 3663999, 3666999, 3668999, 3669999, 3672999, 3673999, 3674999, 3675999, 3676999, 3677999, 3678999, 3679999, 3682999, 3683999, 3684999, 3685999, 3687999, 3688999, 3689999, 3692999, 3693999, 3694999, 3695999, 3696999, 3699999';0.0125;0.0125
'3632, 3666, 3668, 3689, 3695';0.0125;0.0125
'3624, 3625, 3627, 3628, 3633, 3657, 3662, 3663, 3688';0.0125;0.0125
'3620';0.1600;0.1600
'3630';0.1600;0.1600
'3670';0.1600;0.1600
'354';0.0170;0.0170
'35438, 35439, 3546, 3548';0.2200;0.2200
'91';0.1200;0.1200
'9122';0.1200;0.1200
'9111';0.1000;0.1000
'9197, 9198';0.1000;0.1000
